#separator:tab
#html:true
#notetype:Basic
#deck:APFC::4 Question Recall
#tags column:3
Gross National Product differs from Gross Domestic Product by	<b>NFIA.</b> GNP = GDP + NFIA — the domestic-to-national adjustment of §1.1. (a) separates gross from net, which is the <i>other</i> axis of the grid	APFC::M04::F4_1 syllabus::economy type::recall
In national accounting, the term <i>national income</i> refers specifically to	<b>NNP at factor cost.</b> This is the technical definition; the loose use of "national income" for GDP is what the question is testing	APFC::M04::F4_1 syllabus::economy type::recall
Net National Product is obtained from Gross National Product by deducting	<b>Depreciation</b> — the gross-to-net adjustment. (a) would take you from GNP to GDP, sideways on the grid rather than down it	APFC::M04::F4_1 syllabus::economy type::recall
If nominal GDP grows by 10% while the GDP deflator rises by 4%, real GDP grows by approximately	Real growth is approximately nominal growth less the rise in the deflator: 10 − 4 = <b>6%</b>. (a) adds them; (d) divides	APFC::M04::F4_1 syllabus::economy type::recall
The base year of India's national accounts series has been revised to	<b>2022-23</b>, revised from 2011-12, with the new series drawing on ASUSE, PLFS, GST and PFMS data. §2.3 — recent enough that older material still says 2011-12	APFC::M04::F4_1 syllabus::economy type::recall
Gross Value Added at basic prices, plus product taxes and less product subsidies, gives	<b>GDP at market prices</b> = GVA at basic prices + product taxes − product subsidies. The identity in §1.2	APFC::M04::F4_1 syllabus::economy type::recall
Which one of the following is <b>not</b> a component of the expenditure method of computing GDP?	<b>Intermediate consumption</b> is precisely what the expenditure method excludes, to avoid double counting. The other three are all components	APFC::M04::F4_1 syllabus::economy type::recall
India's official national income estimates are released by the	<b>NSO under MoSPI.</b> The RBI publishes monetary and financial data; NITI Aayog is a think tank; the Finance Commission deals with devolution	APFC::M04::F4_1 syllabus::economy type::recall
The largest contributor to India's gross value added is	<b>Services</b>, at over half of GVA. (a) is the trap: India is agricultural in <i>employment</i>, not in <i>output</i> — §3.3	APFC::M04::F4_1 syllabus::economy type::recall
The last of India's Five Year Plans was the	<b>The Twelfth, 2012–17.</b> There has been no Thirteenth Plan; (c) exists only as a distractor	APFC::M04::F4_1 syllabus::economy type::recall
The Economic Survey is prepared by the	The <b>Department of Economic Affairs</b> under the <b>Chief Economic Adviser</b>, tabled the day before the Budget. (a) is the standard wrong answer, NITI Aayog being the more visible body	APFC::M04::F4_1 syllabus::economy type::recall
Transfer payments such as old-age pensions are excluded from national income because	<b>No corresponding production.</b> National income measures production; a transfer moves purchasing power without adding output. (b) is true but is not the reason	APFC::M04::F4_1 syllabus::economy type::recall
According to the Economic Survey 2025-26, real GDP growth for 2025-26 was estimated in the First Advance Estimates at	<b>7.4%</b> in the First Advance Estimates. Note that the revised 2022-23-base series puts the year nearer 7.6%; the stem names the FAE, which is why reading <i>which estimate</i> is asked matters — §3.1	APFC::M04::F4_1 syllabus::economy type::recall
Green GNP is a measure that adjusts conventional national income for	Environmental degradation <b>and</b> resource depletion — the point being that output obtained by exhausting a natural asset is not equivalent to output obtained without doing so	APFC::M04::F4_1 syllabus::economy type::recall
Double counting in the estimation of national income is avoided by counting	<b>Only value added</b> at each stage. (a) and (d) are the definition of double counting; (c) explicitly includes what must be excluded	APFC::M04::F4_1 syllabus::economy type::recall
